scenario,year,delta_t_air,delta_t_sst,heat_wave_days,tropical_nights,max_temp_increase,confidence_low,confidence_high,source
RCP4.5,2024,0.0,0.0,7.0,8.4,0.0,-0.2,0.2,KMA baseline (1991-2020 average)
RCP4.5,2030,0.6,0.4,10.0,11.5,0.5,0.3,0.9,KMA RCP4.5 near-term projection
RCP4.5,2040,1.0,0.7,14.0,17.5,0.85,0.55,1.45,KMA RCP4.5 interpolated
RCP4.5,2050,1.4,1.0,18.0,23.4,1.2,0.8,2.0,KMA RCP4.5 mid-century projection
RCP4.5,2070,1.8,1.4,24.0,33.0,1.6,1.15,2.6,KMA RCP4.5 interpolated
RCP4.5,2100,2.3,1.8,30.0,42.6,2.0,1.5,3.2,KMA RCP4.5 end-century projection
RCP8.5,2024,0.0,0.0,7.0,8.4,0.0,-0.2,0.2,KMA baseline (1991-2020 average)
RCP8.5,2030,0.8,0.5,12.0,14.2,0.7,0.4,1.2,KMA RCP8.5 near-term projection
RCP8.5,2040,1.4,0.95,18.5,25.7,1.25,0.8,2.0,KMA RCP8.5 interpolated
RCP8.5,2050,2.0,1.4,25.0,37.2,1.8,1.2,2.8,KMA RCP8.5 mid-century projection
RCP8.5,2070,3.35,2.45,37.5,61.2,3.0,2.2,4.5,KMA RCP8.5 interpolated
RCP8.5,2100,4.7,3.5,50.0,85.2,4.2,3.2,6.2,KMA RCP8.5 end-century projection
SSP1-2.6,2024,0.0,0.0,7.0,8.4,0.0,-0.2,0.2,IPCC AR6 baseline
SSP1-2.6,2030,0.5,0.3,9.0,10.5,0.4,0.25,0.75,IPCC AR6 SSP1-2.6 near-term
SSP1-2.6,2050,1.0,0.7,14.0,18.0,0.9,0.6,1.4,IPCC AR6 SSP1-2.6 mid-century
SSP1-2.6,2100,1.5,1.1,20.0,28.0,1.3,0.9,2.1,IPCC AR6 SSP1-2.6 end-century
SSP2-4.5,2024,0.0,0.0,7.0,8.4,0.0,-0.2,0.2,IPCC AR6 baseline
SSP2-4.5,2030,0.6,0.4,10.0,11.5,0.5,0.3,0.9,IPCC AR6 SSP2-4.5 near-term
SSP2-4.5,2050,1.5,1.05,19.0,24.5,1.3,0.85,2.15,IPCC AR6 SSP2-4.5 mid-century
SSP2-4.5,2100,2.5,1.9,32.0,45.0,2.2,1.6,3.4,IPCC AR6 SSP2-4.5 end-century
SSP5-8.5,2024,0.0,0.0,7.0,8.4,0.0,-0.2,0.2,IPCC AR6 baseline
SSP5-8.5,2030,0.85,0.55,12.5,14.8,0.75,0.45,1.25,IPCC AR6 SSP5-8.5 near-term
SSP5-8.5,2050,2.2,1.5,27.0,40.0,2.0,1.3,3.0,IPCC AR6 SSP5-8.5 mid-century
SSP5-8.5,2100,5.0,3.7,55.0,90.0,4.5,3.4,6.6,IPCC AR6 SSP5-8.5 end-century
