category,parameter,year,value,unit,source,doi,status,exact_quote
TEMPERATURE,korea_temp_change,2026-2050,1.75,degrees_C,Kim et al. 2016,10.1007/s13143-016-0017-9,VERIFIED,RCP8.5 mid-century Table
TEMPERATURE,korea_temp_change,2076-2100,4.73,degrees_C,Kim et al. 2016,10.1007/s13143-016-0017-9,VERIFIED,RCP8.5 end-century Table
TEMPERATURE,korea_temp_change,2030,1.0,degrees_C,Interpolation,-,DERIVED,Linear interpolation
EFFICIENCY,ambient_derate_low,all,0.06,pct_per_C,Gas-turbine cogeneration study,-,VERIFIED,0.06% per C above 15C
EFFICIENCY,ambient_derate_high,all,0.10,pct_per_C,De Sa & Zubaidy 2011,10.1016/j.applthermaleng.2011.05.027,VERIFIED,0.1% efficiency loss per 1K above ISO
EFFICIENCY,ambient_derate_model,all,0.08,pct_per_C,Midpoint of range,-,DERIVED,Average of 0.06-0.10
EFFICIENCY,cooling_water_derate,all,0.133,pct_per_C,Kim & Jeong 2013,-,DERIVED,2% per 15C = 0.133%/C
EFFICIENCY,sst_air_ratio,all,0.80,ratio,Modeling assumption,-,ASSUMPTION,No specific source
WILDFIRE,climate_factor,2024,1.0,multiplier,Baseline,-,VERIFIED,Reference year
WILDFIRE,climate_factor,2030,2.0,multiplier,WWA 2025,worldweatherattribution.org,ASSUMPTION,WWA does not specify 2030
WILDFIRE,climate_factor,2050,2.0,multiplier,WWA 2025,worldweatherattribution.org,VERIFIED,twice as likely
WILDFIRE,climate_factor,2100,4.0,multiplier,WWA 2025,worldweatherattribution.org,VERIFIED,further doubling
TC,intensity_change_per_2C_low,all,1,percent,Knutson et al. 2020,10.1175/BAMS-D-18-0194.1,VERIFIED,range: 1%-10%
TC,intensity_change_per_2C_high,all,10,percent,Knutson et al. 2020,10.1175/BAMS-D-18-0194.1,VERIFIED,range: 1%-10%
TC,intensity_change_per_2C_median,all,5,percent,Knutson et al. 2020,10.1175/BAMS-D-18-0194.1,VERIFIED,median ~5%
TC,climate_factor,2024,1.00,multiplier,Baseline,-,VERIFIED,Reference year
TC,climate_factor,2030,1.05,multiplier,Derived from Knutson,-,ASSUMPTION,+5% for ~1C warming
TC,climate_factor,2050,1.10,multiplier,Derived from Knutson,-,DERIVED,+10% upper bound for 2C
TC,climate_factor,2100,1.10,multiplier,Derived from Knutson,-,ASSUMPTION,Conservative for 4C+
SLR,korea_projection,2024,0.00,meters,Baseline,-,VERIFIED,Reference year
SLR,korea_projection,2030,0.06,meters,Interpolation,-,DERIVED,Linear to 2100
SLR,korea_projection,2050,0.18,meters,Interpolation,-,DERIVED,Linear to 2100
SLR,korea_projection,2100,0.63,meters,Sung et al. 2021,10.3390/atmos12010090,VERIFIED,0.63 m (0.50-0.76 m)
HEATWAVE,days_baseline,2024,5.0,days_per_year,Korea Herald,-,VERIFIED,Current heat wave days
HEATWAVE,days_future,2100,17.4,days_per_year,WWA 2025,-,VERIFIED,SSP5-8.5 projection
HEATWAVE,efficiency_loss,all,4.0,percent,Modeling assumption,-,ASSUMPTION,During extreme heat events
