scenario,rcp_scenario,target_year,wildfire_outage_rate,flood_outage_rate,slr_capacity_derate,compound_multiplier,fwi_index,flood_return_period_yr,slr_meters,data_source,literature_citation,notes
baseline,current,2024,0.0100,0.0100,0.0000,1.00,20.0,100.0,0.00,CAISO 2003-2016 + Seoul Flood Policy,"[CAISO] 336 fires/14yrs with 10% major impact; [Seoul] 100-yr design standard",Literature-backed baseline from California wildfire data and Korean flood standards
moderate_physical,RCP4.5,2040,0.0150,0.0150,0.0090,1.20,26.0,65.0,0.18,IPCC AR6 + CAISO + Zscheischler 2018,"[IPCC AR6] RCP4.5 projections; [Zscheischler] 1.2x base compound multiplier",Mid-century RCP4.5 with literature-backed compound risk
moderate_physical_2024,RCP4.5,2024,0.0100,0.0100,0.0000,1.00,20.0,100.0,0.00,CAISO 2003-2016 + Seoul Flood Policy,"Same as baseline, starting point for trajectory",Starting point same as baseline
moderate_physical_2030,RCP4.5,2030,0.0125,0.0125,0.0045,1.10,23.0,80.0,0.10,IPCC AR6 + CAISO,"Linear interpolation between 2024-2040; [IPCC AR6] 0.1m SLR by 2030 RCP4.5",Early transition with climate adjustment
moderate_physical_2040,RCP4.5,2040,0.0150,0.0150,0.0090,1.20,26.0,65.0,0.18,IPCC AR6 + CAISO + Zscheischler 2018,"[IPCC AR6] RCP4.5 mid-century; [Zscheischler] compound risk",Mid-century RCP4.5 scenario
moderate_physical_2050,RCP4.5,2050,0.0175,0.0175,0.0140,1.25,28.0,55.0,0.28,IPCC AR6 + CAISO + Zscheischler 2018,"[IPCC AR6] 0.28m SLR RCP4.5 2050; 1.5% increase from 2040",Paris Agreement 2C pathway
moderate_physical_2060,RCP4.5,2060,0.0200,0.0200,0.0190,1.30,30.0,50.0,0.35,IPCC AR6 + extrapolation,"Continued RCP4.5 trajectory with increasing compound effects",Late century RCP4.5
high_physical,RCP8.5,2040,0.0200,0.0200,0.0120,1.35,32.0,50.0,0.25,IPCC AR6 + NREL 2023 + Zscheischler 2018,"[NREL] Higher wildfire risk; [Zscheischler] 1.35x compound for high stress",High emissions mid-trajectory with elevated compound risk
high_physical_2024,RCP8.5,2024,0.0100,0.0100,0.0000,1.00,20.0,100.0,0.00,CAISO 2003-2016 + Seoul Flood Policy,"Same as baseline, RCP divergence begins after 2030",Starting point same as baseline
high_physical_2030,RCP8.5,2030,0.0150,0.0150,0.0060,1.20,25.0,75.0,0.12,IPCC AR6 + CAISO + Zscheischler 2018,"Earlier divergence from RCP4.5; [IPCC AR6] 0.12m SLR RCP8.5 2030",High emissions early divergence
high_physical_2040,RCP8.5,2040,0.0200,0.0200,0.0120,1.35,32.0,50.0,0.25,IPCC AR6 + NREL 2023 + Zscheischler 2018,"[NREL] 2023 power system wildfire study; [IPCC] RCP8.5 mid-century",High emissions accelerating
high_physical_2050,RCP8.5,2050,0.0250,0.0250,0.0225,1.45,38.0,40.0,0.45,IPCC AR6 + NREL 2023 + Zscheischler 2018,"[IPCC AR6] 0.45m SLR RCP8.5 2050; elevated compound multiplier",High emissions mid-century
high_physical_2060,RCP8.5,2060,0.0300,0.0350,0.0350,1.55,44.0,30.0,0.70,IPCC AR6 + extrapolation + Zscheischler 2018,"Approaching max compound multiplier (2.0x); severe infrastructure stress",High emissions late-century
extreme_physical,RCP8.5,2050,0.0300,0.0350,0.0350,1.65,48.0,25.0,0.70,IPCC AR6 90th percentile + Nature Comm 2024,"[Nature Comm] 70% underestimation without asset-level analysis",Extreme scenario using 90th percentile projections
extreme_physical_2050,RCP8.5,2050,0.0300,0.0350,0.0350,1.65,48.0,25.0,0.70,IPCC AR6 90th percentile + Nature Comm 2024,"[Nature Comm 2024] Asset-level risk study; 82% underestimation of tail risks",Extreme scenario high end
extreme_physical_2060,RCP8.5,2060,0.0400,0.0500,0.0500,1.80,55.0,20.0,0.90,IPCC AR6 90th percentile + Zscheischler 2018,"Approaching 2.0x max compound multiplier; severe cascading failures",Extreme scenario very high
compound_extreme,RCP8.5,2050,0.0350,0.0400,0.0450,1.85,52.0,20.0,0.80,Zscheischler 2018 + Nature Comm 2024,"[Zscheischler] Concurrent hazards; compound multiplier near maximum",Concurrent wildfire+flood+SLR designed scenario
compound_catastrophic,RCP8.5,2060,0.0500,0.0600,0.0600,2.00,60.0,15.0,1.10,Zscheischler 2018 (maximum) + IPCC AR6,"[Zscheischler] Maximum 2.0x compound multiplier; cascading infrastructure failure",Worst-case scenario at literature maximum
