category,parameter,value,unit,description
plant,capacity_mw,2100,MW,Default plant capacity
plant,capacity_factor,0.85,ratio,Default capacity factor
plant,operating_years,40,years,Default operating life
plant,cod_year,2024,year,Commercial Operation Date
plant,heat_rate_mmbtu_mwh,9.5,MMBtu/MWh,Default heat rate
market,power_price_per_mwh,80,USD/MWh,Default power price
market,fuel_price_per_mmbtu,3.2,USD/MMBtu,Default fuel price
cost,fixed_opex_per_kw_year,35,USD/kW-yr,Default Fixed O&M
cost,variable_opex_per_mwh,4.5,USD/MWh,Default Variable O&M
cost,total_capex_million,4900,M USD,Default Total CAPEX
financial,useful_life,30,years,Depreciation life
financial,tax_rate,0.24,ratio,Corporate tax rate
financial,debt_fraction,0.70,ratio,Debt to Capital ratio
financial,debt_interest_rate,0.05,ratio,Cost of debt
financial,debt_tenor_years,20,years,Debt maturity
risk,base_outage_rate,0.03,ratio,Base forced outage rate
