parameter,value,source,doi_or_url,status,notes
wildfire_base_rate,0.0082%,CLIMADA API (NASA FIRMS),climada.ethz.ch,API OUTPUT + ASSUMPTION,"6 events in 20 years; P(outage)=0.10 is assumption"
tc_base_rate,0.0205%,CLIMADA API (IBTrACS),climada.ethz.ch,API OUTPUT + ASSUMPTION,"5 damaging events in 40 years; P(outage)=0.30 is assumption"
flood_base_rate,0.0000%,CLIMADA API (ISIMIP),climada.ethz.ch,API OUTPUT,"0 events (riverine only; coastal site at 10m)"
wildfire_factor_2050,2.0x,WWA 2025,worldweatherattribution.org,VERIFIED,"Exact quote: 'twice as likely'"
wildfire_factor_2100,4.0x,WWA 2025,worldweatherattribution.org,VERIFIED,"Exact quote: 'further doubling'"
wildfire_factor_2030,2.0x,WWA 2025,worldweatherattribution.org,ASSUMPTION,"WWA does not specify 2030; using current climate value"
tc_intensity_per_2c,+1-10%,Knutson et al. 2020,10.1175/BAMS-D-18-0194.1,VERIFIED,"Exact quote: 'range: 1%-10%'"
tc_factor_2030,1.05x,Derived from Knutson,10.1175/BAMS-D-18-0194.1,ASSUMPTION,"Assumed +5% for ~1°C (half of 2°C effect)"
tc_factor_2050,1.10x,Derived from Knutson,10.1175/BAMS-D-18-0194.1,DERIVED,"Upper bound of +10% for 2°C"
tc_factor_2100,1.10x,Derived from Knutson,10.1175/BAMS-D-18-0194.1,ASSUMPTION,"Conservative; could be higher for 4°C+"
korea_temp_2050,+1.75C,Kim et al. 2016,10.1007/s13143-016-0017-9,VERIFIED,"Table in paper: RCP8.5 mid-century"
korea_temp_2100,+4.73C,Kim et al. 2016,10.1007/s13143-016-0017-9,VERIFIED,"Table in paper: RCP8.5 end-century"
korea_temp_2030,+1.0C,Interpolation,-,DERIVED,"Linear interpolation between baseline and mid-century"
efficiency_derate_ambient,0.08%/C,Multiple sources,"De Sa 2011, Wartsila",DERIVED,"Midpoint of verified range 0.06-0.10%/C"
efficiency_derate_cooling,0.14%/C,Kim & Jeong 2013,Global Water Forum,DERIVED,"Calculated: 2%/15C = 0.13%/C rounded"
sst_air_ratio,0.8,Modeling assumption,-,ASSUMPTION,"No specific source; general climate relationship"
korea_slr_2100,0.63m,Sung et al. 2021,10.3390/atmos12010090,VERIFIED,"Exact quote: '0.63 m (0.50-0.76 m)'"
korea_slr_2030,0.06m,Interpolation,-,DERIVED,"Linear interpolation from 0.63m by 2100"
korea_slr_2050,0.18m,Interpolation,-,DERIVED,"Linear interpolation from 0.63m by 2100"
outage_prob_wildfire,0.10,Industry standard,-,ASSUMPTION,"No literature source"
outage_prob_tc,0.30,KEPCO grid data,-,ASSUMPTION,"Based on Korean grid vulnerability"
outage_duration_wildfire,24h,Industry standard,-,ASSUMPTION,"No literature source"
outage_duration_tc,48h,Industry standard,-,ASSUMPTION,"No literature source"
