scenario,rcp_scenario,target_year,wildfire_outage_rate,flood_outage_rate,slr_capacity_derate,compound_multiplier,fwi_index,flood_return_period_yr,slr_meters,data_source,notes
baseline,current,2024,0.0120,0.0020,0.0000,1.00,20.0,100.0,0.00,CLIMADA historical ERA5 1990-2020,Baseline from 30-year historical average
moderate_physical_2030,RCP4.5,2030,0.0150,0.0025,0.0050,1.05,23.0,80.0,0.10,CLIMADA CMIP6 ensemble median,Early transition period
moderate_physical_2040,RCP4.5,2040,0.0180,0.0030,0.0120,1.08,26.0,65.0,0.18,CLIMADA CMIP6 ensemble median,Mid-century approach
moderate_physical_2050,RCP4.5,2050,0.0200,0.0030,0.0190,1.10,28.0,60.0,0.28,CLIMADA CMIP6 ensemble median,Paris Agreement 2C pathway
high_physical_2030,RCP8.5,2030,0.0180,0.0028,0.0060,1.10,25.0,75.0,0.12,CLIMADA CMIP6 ensemble median,High emissions early
high_physical_2040,RCP8.5,2040,0.0250,0.0035,0.0170,1.15,32.0,50.0,0.25,CLIMADA CMIP6 ensemble median,High emissions accelerating
high_physical_2050,RCP8.5,2050,0.0300,0.0035,0.0300,1.18,38.0,45.0,0.45,CLIMADA CMIP6 ensemble median,High emissions mid-century
high_physical_2060,RCP8.5,2060,0.0350,0.0050,0.0470,1.22,44.0,35.0,0.70,CLIMADA CMIP6 ensemble median,High emissions late-century
extreme_physical_2050,RCP8.5,2050,0.0400,0.0060,0.0470,1.28,48.0,30.0,0.70,CLIMADA CMIP6 90th percentile,Extreme scenario high end
extreme_physical_2060,RCP8.5,2060,0.0500,0.0080,0.0600,1.35,55.0,25.0,0.90,CLIMADA CMIP6 90th percentile,Extreme scenario very high
compound_extreme,RCP8.5,2050,0.0450,0.0085,0.0600,1.40,52.0,25.0,0.80,CLIMADA compound hazard analysis,Concurrent wildfire+flood+SLR
compound_catastrophic,RCP8.5,2060,0.0600,0.0120,0.0800,1.50,60.0,20.0,1.10,CLIMADA compound hazard analysis,Worst-case cascading failures
