function_name,hazard_type,parameter,value,lower_bound,upper_bound,unit,source
fwi_linear,wildfire,threshold_fwi,25.0,20.0,30.0,FWI,Korea Forest Service (2021)
fwi_linear,wildfire,damage_rate_per_fwi,0.003,0.002,0.004,fraction/FWI,Van Wagner (1987) + KFS
fwi_exponential,wildfire,base_fwi,30.0,25.0,35.0,FWI,Literature average
fwi_exponential,wildfire,scale_factor,0.05,0.03,0.07,dimensionless,Empirical fitting
korea_forest,wildfire,spring_risk_multiplier,1.5,1.3,1.7,dimensionless,KFS (2020) - March-May peak
korea_forest,wildfire,autumn_risk_multiplier,1.3,1.1,1.5,dimensionless,KFS (2020) - Oct-Nov secondary
depth_damage,flood,threshold_depth_m,0.3,0.2,0.4,m,FEMA HAZUS-MH (2020)
depth_damage,flood,damage_rate_per_m,0.15,0.10,0.20,fraction/m,HAZUS depth-damage curves
depth_damage,flood,max_damage_ratio,0.80,0.70,0.90,fraction,Industry standard
duration_damage,flood,duration_threshold_hours,24.0,12.0,36.0,hours,HAZUS + expert judgment
duration_damage,flood,additional_damage_per_day,0.05,0.03,0.07,fraction/day,Empirical studies
wind_power,tropical_cyclone,threshold_wind_ms,25.0,20.0,30.0,m/s,Emanuel (2005) + industry
wind_power,tropical_cyclone,power_exponent,3.0,2.5,3.5,dimensionless,Emanuel (2005) cubic law
wind_power,tropical_cyclone,scale_factor,0.0001,0.00005,0.00015,dimensionless,Calibrated to obs
holland_wind,tropical_cyclone,rmax_km,50.0,30.0,70.0,km,Holland (1980) model
holland_wind,tropical_cyclone,shape_parameter,1.3,1.0,1.6,dimensionless,Holland B parameter
spei_drought,drought,threshold_spei,-1.0,-1.2,-0.8,SPEI,McKee et al. (1993)
spei_drought,drought,max_derate,0.10,0.05,0.15,fraction,van Vliet et al. (2012)
spei_drought,drought,extreme_spei,-2.5,-3.0,-2.0,SPEI,Severe drought threshold
water_stress,drought,threshold_wsi,0.40,0.30,0.50,fraction,Byers et al. (2014)
water_stress,drought,curtailment_rate,0.20,0.10,0.30,fraction/0.1WSI,Byers et al. (2014)
korea_drought,drought,coastal_plant_factor,0.30,0.20,0.40,dimensionless,Seawater cooling adjustment
temp_efficiency,heat_stress,efficiency_coef_per_c,0.0012,0.0010,0.0015,%/°C,EPRI (2011) + Maulbetsch (2006)
temp_efficiency,heat_stress,reference_temp_c,15.0,12.0,18.0,°C,Design reference temperature
temp_efficiency,heat_stress,max_efficiency_loss,0.08,0.06,0.10,fraction,Physical limit
heat_wave_capacity,heat_stress,threshold_temp_c,35.0,33.0,37.0,°C,KMA heat wave definition
heat_wave_capacity,heat_stress,derate_per_c,0.015,0.010,0.020,fraction/°C,Bartos & Chester (2015)
heat_wave_capacity,heat_stress,max_derate,0.15,0.10,0.20,fraction,Miara et al. (2017)
korea_heat,heat_stress,heat_day_efficiency_loss,0.002,0.001,0.003,fraction/day,KEPCO operational data
korea_heat,heat_stress,extreme_day_capacity_loss,0.005,0.003,0.007,fraction/day,KEPCO operational data
korea_heat,heat_stress,night_efficiency_penalty,0.001,0.0005,0.0015,fraction/night,Tropical night impact
